Interval=	0.0025 s
ExcelDateTime=	4.4621650142538019e+004	3/1/2022 15:36:12.315285
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
2.3725	-4.3
2.375	-3.8
2.3775	6.2
2.38	16.9
2.3825	22.2
2.385	20.7
2.3875	11.5
2.39	2.6
2.3925	3.6
2.395	15.5
2.3975	26.1
2.4	27.8
2.4025	23.2
2.405	15.3
2.4075	10.0
2.41	12.4
2.4125	21.8
2.415	28.4
2.4175	26.8
2.42	20.8
2.4225	11.1
2.425	6.2
2.4275	11.5
2.43	20.6
2.4325	26.8
2.435	23.5
2.4375	11.1
2.44	0.3
2.4425	3.9
2.445	15.6
2.4475	23.4
2.45	25.9
2.4525	20.7
2.455	11.1
2.4575	6.4
2.46	10.5
2.4625	21.8
2.465	31.5
2.4675	32.4
2.47	23.9
2.4725	13.8
2.475	12.7
2.4775	19.1
2.48	27.4
2.4825	31.7
2.485	29.3
2.4875	20.1
2.49	9.7
2.4925	8.4
2.495	12.9
2.4975	18.3
2.5	20.1
2.5025	13.1
2.505	4.9
2.5075	1.9
2.51	6.3
2.5125	16.0
2.515	21.7
2.5175	17.9
2.52	6.4
2.5225	-2.3
2.525	-3.6
2.5275	1.9
2.53	10.9
2.5325	16.0
2.535	16.1
2.5375	10.3
2.54	2.6
2.5425	2.0
2.545	13.1
2.5475	26.8
2.55	30.7
2.5525	22.2
2.555	10.0
2.5575	4.9
2.56	8.1
2.5625	17.2
2.565	25.8
2.5675	24.3
2.57	15.4
2.5725	6.0
2.575	-0.9
2.5775	3.2
2.58	17.5
2.5825	26.8
2.585	23.9
2.5875	13.4
2.59	4.3
2.5925	4.5
2.595	11.9
2.5975	19.9
2.6	23.6
2.6025	20.0
2.605	10.1
2.6075	6.2
2.61	11.3
2.6125	17.5
2.615	24.3
2.6175	26.5
2.62	21.4
2.6225	11.9
2.625	7.0
2.6275	13.0
2.63	23.2
2.6325	28.8
2.635	23.6
2.6375	12.9
2.64	5.5
2.6425	7.8
2.645	17.8
2.6475	25.3
2.65	25.4
2.6525	17.7
2.655	6.0
2.6575	0.2
2.66	11.9
2.6625	33.8
2.665	46.3
2.6675	44.6
2.67	36.4
2.6725	28.5
2.675	23.2
2.6775	22.0
2.68	23.1
2.6825	20.5
2.685	12.2
2.6875	3.5
2.69	-1.8
2.6925	-1.3
2.695	5.0
2.6975	12.4
2.7	16.6
2.7025	14.5
2.705	6.6
2.7075	1.6
2.71	3.4
2.7125	7.8
2.715	13.0
2.7175	11.8
2.72	2.3
2.7225	-4.4
2.725	-2.9
2.7275	0.8
2.73	2.1
2.7325	2.5
2.735	-1.2
2.7375	-10.1
2.74	-14.8
2.7425	-10.0
2.745	0.6
2.7475	9.4
2.75	9.1
2.7525	4.8
2.755	-1.6
2.7575	-8.6
2.76	-7.1
2.7625	-0.1
2.765	5.2
2.7675	6.0
2.77	-0.8
2.7725	-8.2
2.775	-7.7
2.7775	-0.0
2.78	9.6
2.7825	14.5
2.785	12.3
2.7875	4.8
2.79	-3.8
2.7925	-7.4
2.795	-5.6
2.7975	0.6
2.8	3.8
2.8025	-4.1
2.805	-14.3
2.8075	-16.7
2.81	-12.6
2.8125	-6.9
2.815	-2.3
2.8175	-1.7
2.82	-9.6
2.8225	-17.7
2.825	-20.1
2.8275	-18.4
2.83	-10.9
2.8325	-6.3
2.835	-8.2
2.8375	-13.6
2.84	-20.9
2.8425	-20.9
2.845	-14.4
2.8475	-8.3
2.85	-5.5
2.8525	-7.9
2.855	-13.1
2.8575	-17.0
2.86	-15.1
2.8625	-6.5
2.865	2.6
2.8675	4.9
2.87	0.7
2.8725	-7.4
2.875	-10.5
2.8775	-3.8
2.88	5.6
2.8825	10.5
2.885	5.7
2.8875	-4.7
2.89	-9.7
2.8925	-6.1
2.895	-0.1
2.8975	3.6
2.9	3.9
2.9025	1.2
2.905	-4.0
2.9075	-9.7
2.91	-11.3
2.9125	-6.7
2.915	-0.7
2.9175	-0.3
2.92	-5.0
2.9225	-10.2
2.925	-13.0
2.9275	-11.2
2.93	-5.1
2.9325	0.0
2.935	-0.3
2.9375	-7.9
2.94	-14.5
2.9425	-13.9
2.945	-8.9
2.9475	-0.0
2.95	8.3
2.9525	9.7
2.955	8.3
2.9575	8.5
2.96	10.1
2.9625	13.5
2.965	15.3
2.9675	13.4
2.97	10.0
2.9725	7.2
2.975	6.3
2.9775	8.5
2.98	12.7
2.9825	12.9
2.985	6.9
2.9875	-3.2
2.99	-12.3
2.9925	-15.5
2.995	-12.8
2.9975	-8.3
3	-7.6
3.0025	-12.7
3.005	-17.6
3.0075	-19.0
3.01	-15.2
3.0125	-6.5
3.015	-0.2
3.0175	-0.7
3.02	-5.3
3.0225	-10.6
3.025	-13.7
3.0275	-10.7
3.03	-2.8
3.0325	1.5
3.035	0.2
3.0375	-2.3
3.04	-4.9
3.0425	-3.0
3.045	4.3
3.0475	11.4
3.05	15.1
3.0525	11.9
3.055	5.0
3.0575	0.9
3.06	0.4
3.0625	3.2
3.065	8.5
3.0675	10.6
3.07	6.6
3.0725	3.1
3.075	2.6
3.0775	3.5
3.08	6.7
3.0825	10.1
3.085	8.1
3.0875	1.0
3.09	-4.9
3.0925	-4.6
3.095	1.7
3.0975	8.8
3.1	10.7
3.1025	7.5
3.105	2.6
3.1075	-1.2
3.11	-2.2
3.1125	0.7
3.115	5.7
3.1175	4.8
3.12	2.0
3.1225	4.3
3.125	7.4
3.1275	11.0
3.13	18.3
