Interval=	0.0025 s
ExcelDateTime=	4.4620597823331671e+004	2/28/2022 14:20:51.935856
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	1000.0 µV
2.63	-5.7
2.6325	3.2
2.635	7.3
2.6375	3.9
2.64	1.8
2.6425	5.0
2.645	6.0
2.6475	2.1
2.65	4.1
2.6525	5.9
2.655	1.5
2.6575	-0.9
2.66	-1.8
2.6625	-3.7
2.665	-3.3
2.6675	0.8
2.67	3.1
2.6725	3.3
2.675	5.9
2.6775	8.1
2.68	11.6
2.6825	15.2
2.685	15.6
2.6875	15.8
2.69	11.6
2.6925	5.1
2.695	1.7
2.6975	0.6
2.7	2.2
2.7025	3.3
2.705	1.7
2.7075	-1.0
2.71	-2.4
2.7125	-1.9
2.715	-2.5
2.7175	-2.3
2.72	-1.2
2.7225	-4.1
2.725	-2.6
2.7275	7.3
2.73	15.1
2.7325	21.0
2.735	30.9
2.7375	39.9
2.74	44.1
2.7425	37.8
2.745	29.9
2.7475	31.1
2.75	32.6
2.7525	34.4
2.755	37.5
2.7575	40.7
2.76	43.3
2.7625	34.4
2.765	17.3
2.7675	5.8
2.77	-1.7
2.7725	-12.0
2.775	-21.7
2.7775	-26.3
2.78	-29.1
2.7825	-26.8
2.785	-25.6
2.7875	-29.4
2.79	-27.7
2.7925	-28.7
2.795	-37.3
2.7975	-37.1
2.8	-28.9
2.8025	-23.7
2.805	-26.5
2.8075	-31.7
2.81	-24.8
2.8125	-15.8
2.815	-14.5
2.8175	-10.0
2.82	-6.0
2.8225	-9.5
2.825	-11.1
2.8275	-10.0
2.83	-8.8
2.8325	-3.5
2.835	0.2
2.8375	-0.8
2.84	-3.7
2.8425	-8.9
2.845	-4.8
2.8475	3.7
2.85	4.7
2.8525	4.2
2.855	2.8
2.8575	3.3
2.86	3.9
2.8625	7.0
2.865	11.9
2.8675	12.3
2.87	14.0
2.8725	18.1
2.875	16.7
2.8775	6.6
2.88	-0.9
2.8825	-6.6
2.885	-6.5
2.8875	-0.5
2.89	0.2
2.8925	3.5
2.895	3.3
2.8975	-3.7
2.9	-7.5
2.9025	-10.3
2.905	-7.4
2.9075	-3.2
2.91	-5.8
2.9125	-6.3
2.915	-1.8
2.9175	-1.3
2.92	-6.3
2.9225	-4.2
2.925	0.7
2.9275	2.3
2.93	2.4
2.9325	-1.8
2.935	-0.2
2.9375	-1.3
2.94	-4.1
2.9425	10.3
2.945	17.9
2.9475	7.3
2.95	-1.4
2.9525	-2.6
2.955	-4.3
2.9575	-5.7
2.96	-1.9
2.9625	5.8
2.965	8.3
2.9675	7.2
2.97	2.8
2.9725	-3.8
2.975	-2.1
2.9775	3.7
2.98	16.9
2.9825	23.4
2.985	12.8
2.9875	2.7
2.99	-2.6
2.9925	-2.4
2.995	4.5
2.9975	8.6
3	11.7
3.0025	21.5
3.005	18.5
3.0075	5.2
3.01	-3.1
3.0125	6.8
3.015	20.1
3.0175	13.1
3.02	5.5
3.0225	1.3
3.025	-9.9
3.0275	-28.9
3.03	-48.0
3.0325	-45.4
3.035	-34.9
3.0375	-31.5
3.04	-30.8
3.0425	-39.8
3.045	-61.9
3.0475	-75.5
3.05	-55.4
3.0525	-40.5
3.055	-46.5
3.0575	-55.3
3.06	-58.7
3.0625	-50.7
3.065	-40.8
3.0675	-33.8
3.07	-30.4
3.0725	-30.9
3.075	-25.7
3.0775	-16.3
3.08	-23.4
3.0825	-25.0
3.085	-11.9
3.0875	-0.2
3.09	1.1
3.0925	-5.7
3.095	-5.5
3.0975	-13.5
3.1	-24.1
3.1025	-44.6
3.105	-55.5
3.1075	-25.1
3.11	-5.5
3.1125	-22.5
3.115	-25.6
3.1175	9.2
3.12	27.9
3.1225	39.5
3.125	39.6
3.1275	3.6
3.13	-9.0
3.1325	2.1
3.135	1.9
3.1375	-0.8
3.14	-28.5
3.1425	-25.6
3.145	10.3
3.1475	12.0
3.15	23.6
3.1525	33.4
3.155	28.5
3.1575	23.4
3.16	5.6
3.1625	-6.1
3.165	-7.0
3.1675	-28.5
3.17	-33.8
3.1725	-7.1
3.175	-16.0
3.1775	6.4
3.18	43.6
3.1825	18.3
3.185	3.3
3.1875	0.1
3.19	-5.1
3.1925	-21.3
3.195	-27.6
3.1975	-4.8
3.2	-6.2
3.2025	-26.3
3.205	-29.2
3.2075	2.6
3.21	28.3
3.2125	20.9
3.215	-22.2
3.2175	-32.9
3.22	23.5
3.2225	22.1
3.225	-3.1
3.2275	7.1
3.23	16.6
3.2325	7.9
3.235	-3.0
3.2375	24.0
3.24	23.4
3.2425	6.0
3.245	-6.6
3.2475	-25.9
3.25	-5.6
3.2525	25.8
3.255	25.7
3.2575	-4.6
3.26	-13.4
3.2625	9.9
3.265	31.3
3.2675	28.4
3.27	-32.3
3.2725	-60.0
3.275	-14.9
3.2775	15.1
3.28	3.9
3.2825	4.9
3.285	14.7
3.2875	7.3
3.29	6.1
3.2925	6.9
3.295	6.2
3.2975	7.9
3.3	1.0
3.3025	-11.3
3.305	0.4
3.3075	-3.1
3.31	-17.6
3.3125	-8.2
3.315	-6.8
3.3175	-11.3
3.32	-7.8
3.3225	-2.9
3.325	-10.4
3.3275	-11.7
3.33	5.2
3.3325	20.2
3.335	6.2
3.3375	-39.9
3.34	-22.5
3.3425	13.7
3.345	20.9
3.3475	33.4
3.35	19.9
3.3525	2.3
3.355	-3.9
3.3575	-13.8
3.36	-22.1
3.3625	-3.5
3.365	5.0
3.3675	-17.7
3.37	-16.2
3.3725	19.0
3.375	21.7
3.3775	4.3
3.38	18.0
3.3825	6.9
3.385	-12.8
3.3875	9.8
3.39	-7.6
3.3925	-31.7
3.395	5.0
3.3975	26.0
3.4	18.3
3.4025	19.3
3.405	8.1
3.4075	-8.4
3.41	-8.1
3.4125	-2.5
3.415	11.2
3.4175	3.7
3.42	-1.2
3.4225	3.0
3.425	17.5
3.4275	13.1
3.43	-16.9
3.4325	-10.2
3.435	7.9
3.4375	3.8
3.44	-14.4
3.4425	-11.5
3.445	-12.2
3.4475	-27.3
3.45	-14.7
3.4525	17.2
3.455	-0.6
3.4575	-2.5
3.46	39.6
3.4625	25.6
3.465	8.2
3.4675	11.7
3.47	13.2
3.4725	15.1
3.475	-3.2
3.4775	-18.3
3.48	-4.7
3.4825	7.4
3.485	10.4
3.4875	3.1
3.49	-6.3
3.4925	2.8
3.495	2.0
3.4975	-18.4
3.5	-13.0
3.5025	-20.8
3.505	-20.7
3.5075	21.5
3.51	19.0
3.5125	27.2
3.515	19.3
3.5175	-22.3
3.52	1.8
3.5225	20.6
3.525	7.1
3.5275	5.2
3.53	-0.0
3.5325	14.6
3.535	23.3
3.5375	1.0
3.54	-4.8
3.5425	7.3
3.545	17.0
3.5475	10.0
3.55	-4.5
3.5525	7.7
3.555	18.4
3.5575	10.6
3.56	2.1
3.5625	-5.5
3.565	4.4
3.5675	20.2
3.57	14.1
3.5725	-8.9
3.575	-6.1
3.5775	19.0
3.58	14.8
3.5825	0.4
3.585	-0.9
3.5875	-2.0
3.59	14.2
3.5925	29.7
3.595	14.3
3.5975	3.8
3.6	-13.4
3.6025	-12.6
3.605	16.4
3.6075	23.1
3.61	23.0
3.6125	13.6
3.615	-4.3
3.6175	2.0
3.62	11.1
3.6225	1.2
3.625	-5.5
3.6275	-4.7
3.63	3.6
3.6325	2.0
3.635	-5.7
3.6375	-9.4
3.64	-3.9
3.6425	7.1
3.645	2.1
3.6475	0.1
3.65	0.8
3.6525	2.8
3.655	3.9
3.6575	-10.1
3.66	-24.4
3.6625	-27.8
3.665	-19.8
3.6675	-8.0
3.67	-9.4
3.6725	-18.0
3.675	-15.9
3.6775	-11.0
3.68	-12.1
3.6825	-12.3
3.685	-13.2
3.6875	-14.0
3.69	-14.6
3.6925	-16.0
3.695	-11.7
3.6975	-10.4
3.7	-11.0
3.7025	-11.6
3.705	-9.3
3.7075	-3.5
3.71	-5.6
3.7125	-8.6
3.715	-10.2
3.7175	-6.7
3.72	-5.6
3.7225	-9.2
3.725	-1.8
3.7275	10.7
3.73	14.9
3.7325	7.8
3.735	0.2
3.7375	0.6
3.74	-2.4
3.7425	-8.2
3.745	-2.3
3.7475	4.4
3.75	-2.7
3.7525	-12.0
3.755	-5.8
3.7575	1.7
3.76	-0.3
3.7625	-2.0
3.765	1.7
3.7675	11.3
3.77	16.4
3.7725	18.1
3.775	16.3
3.7775	6.9
3.78	2.9
3.7825	11.4
3.785	17.3
3.7875	23.2
